id,grid_id,score,data_source,borough,zip,latitude,longitude,lat_lon,address,status,cb_num,cncldist,category,assemblydist,coundist,gardenname,juris,geometry,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,statesenatedist,censustract,crossstreets
230940,2389,9.72,df_gardens,Manhattan,10024.0,40.787089,-73.970926,-3017.0587421744144,55 West 87th Street,Active,107.0,12.0,Garden,69.0,6.0,West 87th Street Park & Garden,DPR,POINT (-73.970926 40.787089),CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,47.0,173.0,CPW & Columbus
230941,1857,19.11,df_gardens,Manhattan,10009.0,40.724275,-73.978003,-3012.700538122825,360 East 8th Street,Active,103.0,10.0,Garden,74.0,2.0,Firemen's Memorial Garden,DPR,POINT (-73.978003 40.724275),12:00 p.m. - 4:00 p.m.,,10:00 a.m. - 6:00 p.m.,10:00 a.m. - 6:00 p.m.,12:00 p.m. - 4:00 p.m.,,,27.0,26.02,Avenues C & D
230942,1857,19.11,df_gardens,Manhattan,10009.0,40.724085,-73.97756,-3012.6684415326,372 East 8th Street,Active,103.0,10.0,Garden,74.0,2.0,Green Oasis Community Garden / Gilbert's Garden,DPR,POINT (-73.97756 40.724085),CLOSED,CLOSED,11:00 a.m. - 5:00 p.m.,11:00 a.m. - 5:00 p.m.,CLOSED,CLOSED,CLOSED,27.0,26.02,Avenues C & D
230943,1857,19.11,df_gardens,Manhattan,10009.0,40.725279,-73.977534,-3012.7557118819864,703 East 9th Street,Active,103.0,10.0,Garden,74.0,2.0,Francisco “Pancho” Ramos Community Garden,DPR,POINT (-73.977534 40.725279),CLOSED,CLOSED,12:00 p.m. - 6:00 p.m.,12:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,CLOSED,27.0,28.0,At Avenue C
230944,1857,19.11,df_gardens,Manhattan,10009.0,40.723869,-73.980742,-3012.7820457307985,624 East 6th Street,Active,103.0,10.0,Garden,74.0,2.0,6BC Botanical Garden,DPR,POINT (-73.980742 40.723869),CLOSED,CLOSED,12:00 p.m. - 6:00 p.m.,12:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,CLOSED,27.0,26.01,Avenues B & C
230945,1857,19.11,df_gardens,Manhattan,10009.0,40.722667,-73.983567,-3012.8081624131887,194 East 3rd Street,Active,103.0,10.0,Garden,65.0,2.0,Miracle Garden,DPR,POINT (-73.983567 40.722667),CLOSED,CLOSED,12:00 p.m. - 6:00 p.m.,12:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,CLOSED,27.0,30.02,Avenues A & B
230946,2452,7.720000000000001,df_gardens,Manhattan,10035.0,40.796572,-73.931609,-3016.1562096443477,342-353 Pleasant Avenue,Active,111.0,13.0,Garden,68.0,8.0,Pleasant Village Community Garden,DPR,POINT (-73.931609 40.796572),CLOSED,CLOSED,1:00 p.m. - 6:00 p.m.,1:00 p.m. - 6:00 p.m.,CLOSED,CLOSED,CLOSED,29.0,178.0,E. 118th & E. 119th Streets.
230947,1857,19.11,df_gardens,Manhattan,10009.0,40.722494,-73.98036,-3012.66476621784,293 East 4th Street,Active,103.0,10.0,Garden,74.0,2.0,Secret Garden,DPR,POINT (-73.98036 40.722494),10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 3:00 p.m.,10:00 a.m. - 3:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,10:00 a.m. - 12:00 p.m.,27.0,26.01,At Avenue C
230948,2687,10.54,df_gardens,Manhattan,10039.0,40.827556,-73.939418,-3018.765729002408,321 W 152nd Street,Active,110.0,13.0,Garden,71.0,9.0,Bradhurst Community Garden of Love,DPR,POINT (-73.939418 40.827556),8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,8:00 a.m. - 8:00 p.m.,30.0,235.02,at Bradhurst Ave.
230949,1857,19.11,df_gardens,Manhattan,10009.0,40.72228,-73.981471,-3012.69417687388,237 E 3rd Street,Active,103.0,10.0,Garden,65.0,2.0,Brisas Del Caribe,DPR,POINT (-73.981471 40.72228),,,9:00 a.m. to 2:00 p.m.,,11:00 a.m. to 4:00 p.m.,11:00 a.m. - 4:00 p.m.,11:00 a.m. to 4:00 p.m.,27.0,26.01,Avenues B & C
230950,2509,17.18,df_gardens,Manhattan,10027.0,40.806224,-73.951109,-3017.665518902416,203 W. 120th Street,Active,110.0,13.0,Garden,70.0,9.0,Harlem Roots Community Garden,DPR,POINT (-73.951109 40.806224),CLOSED,CLOSED,9:00 a.m. - 1:00 p.m.,9:00 a.m. - 1:00 p.m.,CLOSED,CLOSED,3:00 p.m -5:00 p.m.,30.0,220.0,Adam C. Powell Blvd. & Street Nicholas Avenue
230951,1857,19.11,df_gardens,Manhattan,10009.0,40.722513,-73.982027,-3012.734056273851,221 East 3rd Street,Active,103.0,10.0,Garden,65.0,2.0,Los Amigos,DPR,POINT (-73.982027 40.722513),11:00 a.m. - 3:00 p.m.,CLOSED,11:00 a.m. - 3:00 p.m.,CLOSED,11:00 a.m. - 3:00 p.m.,11:00 a.m. - 3:00 p.m.,11:00 a.m. - 3:00 p.m.,27.0,26.01,Avenue B & C
230952,1856,8.32,df_gardens,Manhattan,10003.0,40.724013,-73.989606,-3013.153676608878,48 East 1st Street,Active,103.0,10.0,Garden,66.0,2.0,First Street Garden,DPR,POINT (-73.989606 40.724013),CLOSED,CLOSED,11:00 a.m. - 4:00 p.m.,11:00 a.m. - 4:00 p.m.,CLOSED,CLOSED,CLOSED,27.0,36.02,1st & 2nd Avenues
230953,1857,19.11,df_gardens,Manhattan,10009.0,40.72725,-73.977573,-3012.9031099642502,644 East 12th Street,Active,103.0,10.0,Garden,74.0,2.0,Campos Community Garden,DPR,POINT (-73.977573 40.72725),CLOSED,CLOSED,11:00 a.m. - 4:00 p.m.,11:00 a.m. - 4:00 p.m.,CLOSED,CLOSED,CLOSED,27.0,28.0,Avenues B & C
230954,1857,19.11,df_gardens,Manhattan,10009.0,40.724648,-73.979638,-3012.794716717424,213 East 7th Street,Active,103.0,10.0,Garden,74.0,2.0,Clyde Romero Memorial Garden,DPR,POINT (-73.979638 40.724648),8:00 a.m. - 6:00 p.m.,,,8:00 a.m. - 6:00 p.m.,,,,27.0,26.02,btw Avenue B & C
