id,grid_id,score,data_source,latitude,longitude,lat_lon,address,created date,category,coundist,geometry,borocode,borough_df_benches_std_0,borough_df_benches_std_1,borocd,assemdist,stsendist,congdist,siteid,benchid,type,benchtype,geocodeadd,street,crossstree,borough_df_benches_std_2,borough_df_benches_std_3,comdist,busroute,bid
230797,2217,3.89,df_benches,40.770231,-73.918748,-3013.684431190788,30-18 Astoria Boulevard,11/06/2014,Bench,22.0,POINT (-73.918748 40.770231),4.0,Queens,Queens,401.0,36.0,12.0,12.0,2821.0,1220.0,General,backless,30-18 Astoria Boulevard,Astoria Boulevard,30th Street & 31st Street,Queens,Queens,401.0,Q19,Not Applicable
230798,2986,3.1500000000000004,df_benches,40.862235,-73.898722,-3019.6669445636703,114 East Fordham Road,05/07/2013,Bench,14.0,POINT (-73.898722 40.862235),2.0,Bronx,Bronx,205.0,86.0,33.0,15.0,1945.0,539.0,BID,backed,114 East Fordham Road,East Fordham Rd & 188th Street,E. Fordham Road & 188th Street,Bronx,Bronx,205.0,Not Applicable,Fordham Road
230799,724,6.7700000000000005,df_benches,40.59057,-74.097722,-3007.66877168154,50 Jefferson Street,08/06/2014,Bench,50.0,POINT (-74.097722 40.59057),5.0,Staten Island,Staten Island,502.0,63.0,24.0,11.0,2645.0,1508.0,Municipal Facilities,backed,50 Jefferson Street,Jefferson Street,Cromwell Avenue and Garretson Avenue,Staten Island,Staten Island,502.0,Not Applicable,Not Applicable
230800,1625,5.01,df_benches,40.696211,-73.942037,-3009.160739521807,995 Myrtle Avenue,10/29/2016,Bench,36.0,POINT (-73.942037 40.696211),3.0,Brooklyn,Brooklyn,303.0,56.0,18.0,8.0,3467.0,1933.0,Bus Route,backless,995 Myrtle Avenue,Myrtle Avenue,Marcus Garvey Boulevard & Throop Avenue,Brooklyn,Brooklyn,303.0,B54,Not Applicable
230801,2040,4.279999999999999,df_benches,40.743361,-73.920375,-3011.7645238803752,44-07 Queens Blvd,09/11/2012,Bench,26.0,POINT (-73.920375 40.743361),4.0,Queens,Queens,402.0,37.0,12.0,14.0,1083.0,195.0,BID,backed,44-07 Queens Blvd,Queens Blvd,Locust and 45th Streets,Queens,Queens,402.0,Not Applicable,Sunnyside Shines
230802,1854,5.22,df_benches,40.727392,-74.005517,-3014.051701021664,175 Varick Street,07/03/2012,Bench,3.0,POINT (-74.005517 40.727392),1.0,Manhattan,Manhattan,102.0,66.0,27.0,10.0,978.0,114.0,BID,backed,175 Varick Street,Varick Street,Charlton and King Streets,Manhattan,Manhattan,102.0,Not Applicable,Hudson Square Connection
230803,1687,6.67,df_benches,40.704636,-73.917699,-3008.793031752564,374 Stockholm Street,06/11/2013,Bench,37.0,POINT (-73.917699 40.704636),3.0,Brooklyn,Brooklyn,304.0,53.0,18.0,7.0,2147.0,1543.0,General,backed,161 Wyckoff Avenue,Wyckoff Avenue,Wyckoff Avenue & St. Nicholas Avenue,Brooklyn,Brooklyn,304.0,B13,Not Applicable
230804,2571,6.48,df_benches,40.808695,-73.921887,-3016.655740407465,423 E 138th Street,06/10/2016,Bench,8.0,POINT (-73.921887 40.808695),2.0,Bronx,Bronx,201.0,84.0,29.0,15.0,3449.0,2302.0,Municipal Facilities,backed,423 E 138th Street,E 138th Street,Willis Avenue & Brook Avenue,Bronx,Bronx,201.0,Not Applicable,Not Applicable
230805,1331,2.86,df_benches,40.662381,-73.931527,-3006.2319187857875,470 Utica Avenue,06/15/2012,Bench,41.0,POINT (-73.931527 40.662381),3.0,Brooklyn,Brooklyn,309.0,43.0,20.0,9.0,133.0,12.0,Bus Route,backless,,Utica Avenue,East New York Avenue Maple Street,Brooklyn,Brooklyn,309.0,B46,Not Applicable
230806,2103,14.18,df_benches,40.756348,-73.883604,-3011.2258761181924,32-67 84th Street,12/05/2013,Bench,25.0,POINT (-73.883604 40.756348),4.0,Queens,Queens,403.0,34.0,13.0,14.0,2257.0,1102.0,General,backed,32-67 84th Street,84th Street,Northern Boulevard & 32nd Avenue,Queens,Queens,403.0,Not Applicable,Not Applicable
230807,2097,6.42,df_benches,40.757028,-73.939537,-3013.5557798160357,38-44 21st Street,02/09/2018,Bench,26.0,POINT (-73.939537 40.757028),4.0,Queens,Queens,401.0,37.0,12.0,12.0,2541.0,0.0,Municipal Facilities,,38-44 21st Street,21st Street,37th Avenue and 38th Avenue,Queens,Queens,401.0,Not Applicable,Not Applicable
230808,1505,4.05,df_benches,40.678488,-73.962105,-3008.66660069724,561 Grand Avenue,05/31/2016,Bench,35.0,POINT (-73.962105 40.678488),3.0,Brooklyn,Brooklyn,308.0,57.0,25.0,9.0,3289.0,4259.0,General,backed,860 Dean Street,Dean Street,Dean Street & Bergen Street,Brooklyn,Brooklyn,308.0,Not Applicable,Not Applicable
230809,979,6.48,df_benches,40.615998,-73.912989,-3002.049813398022,6302 Avenue U,05/23/2016,Bench,46.0,POINT (-73.912989 40.615998),3.0,Brooklyn,Brooklyn,318.0,59.0,19.0,8.0,3271.0,2055.0,Municipal Facilities,backed,6302 Avenue U,Avenue U,E 63rd Street & E 64th Street,Brooklyn,Brooklyn,318.0,Not Applicable,Not Applicable
230810,1444,11.57,df_benches,40.671885,-73.977404,-3008.8004680865406,169 7th Avenue,11/06/2013,Bench,39.0,POINT (-73.977404 40.671885),3.0,Brooklyn,Brooklyn,306.0,52.0,21.0,9.0,2129.0,1088.0,General,backed,169 Seventh Avenue,7th Avenue,1st Street and Garfield Place,Brooklyn,Brooklyn,306.0,Not Applicable,Not Applicable
230811,2865,2.2299999999999995,df_benches,40.850858,-73.93262,-3020.21096118796,1471 St. Nicholas Avenue,08/01/2017,Bench,10.0,POINT (-73.93262 40.850858),1.0,Manhattan,Manhattan,112.0,72.0,31.0,13.0,3638.0,225.0,Senior Safety,backed,1471 St. Nicholas Avenue,St. Nicholas Avenue,W. 184th Street & W. 183rd Street,Manhattan,Manhattan,112.0,Not Applicable,Not Applicable
230812,1871,7.27,df_benches,40.722225,-73.850434,-3007.3539896956504,6860 Austin Street,11/19/2014,Bench,29.0,POINT (-73.850434 40.722225),4.0,Queens,Queens,406.0,28.0,16.0,6.0,2820.0,1614.0,General,backed,6860 Austin Street,Austin Street,69th Road & Yellowstone Boulevard,Queens,Queens,406.0,Not Applicable,Not Applicable
230813,2451,9.85,df_benches,40.797577,-73.94128,-3016.62506427856,176 East 115th Street,08/15/2013,Bench,8.0,POINT (-73.94128 40.797577),1.0,Manhattan,Manhattan,111.0,68.0,30.0,13.0,2109.0,771.0,Community Health Centers,backed,176 East 115th Street,East 115th Street,3rd and Lexington Avenues,Manhattan,Manhattan,111.0,Not Applicable,Not Applicable
230814,1685,4.739999999999999,df_benches,40.701824,-73.93734,-3009.3845997081603,869 Flushing Avenue,09/13/2012,Bench,34.0,POINT (-73.93734 40.701824),3.0,Brooklyn,Brooklyn,304.0,53.0,18.0,7.0,1040.0,62.0,Senior Center,backless,869 Flushing Avenue,Flushing Avenue,Forrest Street and Humboldt Street,Brooklyn,Brooklyn,301.0,B57,Not Applicable
230815,1562,5.460000000000001,df_benches,40.689269,-73.985973,-3010.4351576237373,45 Hoyt Street,05/01/2013,Bench,33.0,POINT (-73.985973 40.689269),3.0,Brooklyn,Brooklyn,302.0,52.0,25.0,8.0,1891.0,664.0,Other,backed 2,45 Hoyt Street,Schermerhorn Street,Schermerhorn Street & Livingston Street,Brooklyn,Brooklyn,302.0,Not Applicable,Court-Livingston-Schermerhorn
230816,1562,5.460000000000001,df_benches,40.688231,-73.982108,-3010.201100170948,289 Livingston Street,06/19/2012,Bench,33.0,POINT (-73.982108 40.688231),3.0,Brooklyn,Brooklyn,302.0,52.0,25.0,8.0,992.0,125.0,BID,backed,289 Livingston Street,Livingston Street,Nevins Street and Hanover Place,Brooklyn,Brooklyn,302.0,Not Applicable,Court-Livingston-Schermerhorn
230817,1563,12.98,df_benches,40.68681887,-73.975700924,-3009.83594427608,650 Fulton Street,05/16/2018,Bench,35.0,POINT (-73.975700924 40.68681887),3.0,Brooklyn,Brooklyn,302.0,57.0,25.0,8.0,1062.0,0.0,Plaza,backless,650 Fulton Street,Plaza,Fulton Street and Lafayette Avenue,Brooklyn,Brooklyn,302.0,Not Applicable,Not Applicable
230818,1444,11.57,df_benches,40.6742,-73.9855,-3009.3010241,315 4th Avenue,01/08/2013,Bench,39.0,POINT (-73.9855 40.6742),3.0,Brooklyn,Brooklyn,306.0,52.0,20.0,7.0,1540.0,388.0,General,backed,315 4th Avenue,4th Avenue,2nd and 3rd Street,Brooklyn,Brooklyn,306.0,Not Applicable,Not Applicable
230819,2043,5.1,df_benches,40.748531,-73.891749,-3010.9802247707194,37-07 74th Street,12/10/2016,Bench,25.0,POINT (-73.891749 40.748531),4.0,Queens,Queens,403.0,34.0,13.0,14.0,3521.0,2101.0,General,backed,37-07 74th Street,74th Street,74th Street & 73rd Street,Queens,Queens,403.0,Not Applicable,Not Applicable
230820,854,5.529999999999999,df_benches,40.605154,-73.980016,-3003.969942602464,284 Kings Highway,07/15/2014,Bench,47.0,POINT (-73.980016 40.605154),3.0,Brooklyn,Brooklyn,311.0,47.0,17.0,10.0,2615.0,1350.0,General,backed,284 Kings Highway,Kings Highway,West 6th Street and West 7th Street,Brooklyn,Brooklyn,311.0,Not Applicable,Not Applicable
230821,1388,5.530000000000001,df_benches,40.66812,-73.951387,-3007.46388068244,1183 President Street,05/29/2013,Bench,35.0,POINT (-73.951387 40.66812),3.0,Brooklyn,Brooklyn,309.0,43.0,20.0,9.0,1575.0,616.0,General,backed,1183 President Street,President street,Nostrand Avenue & Rogers Avenue,Brooklyn,Brooklyn,309.0,Not Applicable,Not Applicable
230822,1029,2.71,df_benches,40.624016,-74.003577,-3006.322496105232,6816 13th Avenue,07/31/2013,Bench,43.0,POINT (-74.003577 40.624016),3.0,Brooklyn,Brooklyn,310.0,49.0,22.0,11.0,2046.0,664.0,General,backed,6816 13th Avenue,13th Avenue,Bay Ridge and Ovington Avenues,Brooklyn,Brooklyn,310.0,Not Applicable,Not Applicable
230823,1568,6.55,df_benches,40.686453,-73.923429,-3007.682119607337,104 Ralph Avenue,08/23/2017,Bench,41.0,POINT (-73.923429 40.686453),3.0,Brooklyn,Brooklyn,303.0,56.0,25.0,8.0,3721.0,267.0,Senior Safety,backed,104 Ralph Avenue,Ralph Avenue,Jeffreson Avenue & Putnam Avenue,Brooklyn,Brooklyn,303.0,Not Applicable,Not Applicable
230824,2389,9.72,df_benches,40.791703,-73.968357,-3017.295250141971,703 Columbus Avenue,02/05/2015,Bench,6.0,POINT (-73.968357 40.791703),1.0,Manhattan,Manhattan,107.0,69.0,30.0,10.0,3056.0,1721.0,General,backed,703 Columbus Avenue,Columbus Avenue,W 94th Street & W 95th Street,Manhattan,Manhattan,107.0,Not Applicable,Not Applicable
230825,1742,4.16,df_benches,40.7072032836,-73.9544095187,-3010.477181996324,392 Broadway,03/05/2019,Bench,33.0,POINT (-73.9544095187 40.7072032836),3.0,Brooklyn,Brooklyn,301.0,50.0,26.0,7.0,4193.0,860.0,Other,backed 2,392 Broadway,Division Avenue,Harrison Avenue and Hooper Street,Brooklyn,Brooklyn,301.0,Not Applicable,Not Applicable
230826,1148,3.82,df_benches,40.6405223783,-73.9944618246,-3007.173581652921,4416 Fort Hamilton Parkway,11/24/2017,Bench,39.0,POINT (-73.9944618246 40.6405223783),3.0,Brooklyn,Brooklyn,312.0,51.0,17.0,10.0,3765.0,306.0,Senior Safety,backless,4416 Fort Hamilton Parkway,Fort Hamilton Parkway,45th Street & New Utrectht Avenue,Brooklyn,Brooklyn,312.0,B110,Not Applicable
230827,2811,8.18,df_benches,40.837206,-73.887225,-3017.34782809335,931 E. 174th Street,12/03/2014,Bench,17.0,POINT (-73.887225 40.837206),2.0,Bronx,Bronx,203.0,79.0,32.0,15.0,2877.0,1272.0,Municipal Facilities,backless,931 E. 174th Street,Hoe Avenue,Hoe Avenue and Southern Blvd.,Bronx,Bronx,203.0,BX36,Not Applicable
